site_ref,job,suffix,item,description,oper_num,sequence,Material,MaterialDescription,matl_qty,qty_issued
HPI,3J00000088,1,CSB6401012,HP-60/80 CASING BLOCK,10,1,CS06400110-13A,80HP CASING PBT SK602 w/ STAMP,1.00000000,1500.00000000
HPI,3J00000088,1,CSB6401012,HP-60/80 CASING BLOCK,10,2,VV02200300-01,xx)co)kp)HP-80 AIR VALVE RUBBER,2.00000000,3000.00000000
HPI,3J00000088,1,CSB6401012,HP-60/80 CASING BLOCK,10,3,VC03200200-05A,80HP VALVE COVER PBT SK602,1.00000000,1500.00000000
HPI,3J00000089,1,DFB6602001,HP-80 DF BLOCK,10,1,DF06600200-02A,xx)co)kp)80HP DIAPHRAGM 66x13x2.2 EPN602,1.00000000,1450.00000000
HPI,3J00000089,1,DFB6602001,HP-80 DF BLOCK,10,2,SP03000210-09A,80HP CENTER PLATE A D42 PBT,1.00000000,1450.00000000
HPI,3J00000089,1,DFB6602001,HP-80 DF BLOCK,10,3,SP03000220-08A,80HP CENTER PLATE B D42 PBT,1.00000000,1450.00000000
HPI,3J00000089,1,DFB6602001,HP-80 DF BLOCK,10,4,TP04600200-02,HP-80 Teflon Set,2.00000000,2900.00000000
HPI,3J00000089,1,DFB6602001,HP-80 DF BLOCK,10,5,CS06400101-06,xx)co)80HP DIAPHRAGM BASE PBT TYPE SK602,1.00000000,1440.00000000
HPI,3J00000089,1,DFB6602001,HP-80 DF BLOCK,10,6,DR06400100-06,co)HP-80 DIAPHRAGM RING (60L),1.00000000,1440.00000000
HPI,3J00000091,1,EM0751840P,80XP EM D0.35x2005T 230VCE ECO 2P,10,1,BB07510100-04A,XP-80 TR BOBBIN,1.00000000,420.00000000
HPI,3J00000091,1,EM0751840P,80XP EM D0.35x2005T 230VCE ECO 2P,10,2,TA04000500-01,xx)co)FX 40 LUG TERMINAL TYPE-I W/O L-AN,2.00000000,840.00000000
HPI,3J00000091,1,EM0751840P,80XP EM D0.35x2005T 230VCE ECO 2P,10,3,EW03500500-00,co)SELF-BONDING WIRE 1-CEW5PSF D0.35,0.27800000,116.76000000
HPI,3J00000091,1,EM0751840P,80XP EM D0.35x2005T 230VCE ECO 2P,10,4,ZT03009007,POLYESTER FILM TYPE 631S#25 9x0.025 CLEA,0.75000000,315.00000000
HPI,3J00000091,1,EM0751840P,80XP EM D0.35x2005T 230VCE ECO 2P,10,5,ZT01038007,COMBINATION TAPE TYPE 684S 38X0.42WT(50m,0.03800000,15.96000000
HPI,3J00000091,1,EM0751840P,80XP EM D0.35x2005T 230VCE ECO 2P,10,6,CR07500210-02A,XP-80 C-TYPE SPLIT CORE 2,1.00000000,740.00000000
HPI,3J00000092,1,EM0751841P,80XP EM D0.35x2005T 230VCE ECO P3P,10,1,BB07510100-04A,XP-80 TR BOBBIN,1.00000000,420.00000000
HPI,3J00000092,1,EM0751841P,80XP EM D0.35x2005T 230VCE ECO P3P,10,2,TA04000500-01,xx)co)FX 40 LUG TERMINAL TYPE-I W/O L-AN,3.00000000,1260.00000000
HPI,3J00000092,1,EM0751841P,80XP EM D0.35x2005T 230VCE ECO P3P,10,3,EW03500500-00,co)SELF-BONDING WIRE 1-CEW5PSF D0.35,0.27800000,116.76000000
HPI,3J00000092,1,EM0751841P,80XP EM D0.35x2005T 230VCE ECO P3P,10,4,ZT03009007,POLYESTER FILM TYPE 631S#25 9x0.025 CLEA,0.75000000,315.00000000
HPI,3J00000092,1,EM0751841P,80XP EM D0.35x2005T 230VCE ECO P3P,10,5,ZT01038007,COMBINATION TAPE TYPE 684S 38X0.42WT(50m,0.03800000,15.96000000
HPI,3J00000092,1,EM0751841P,80XP EM D0.35x2005T 230VCE ECO P3P,10,6,OP07000100,THERMAL PROTECTOR TYPE ST-22(temp 105),1.00000000,420.00000000
HPI,3J00000092,1,EM0751841P,80XP EM D0.35x2005T 230VCE ECO P3P,10,7,CR07500200-02A,XP-80 C-TYPE SPLIT CORE 1,1.00000000,420.00000000
HPI,3J00000093,1,JHB1826501,L-HOSE SET (60),10,2,BI00000400,VINYL # 4 (0.03 x 90x 170mm),1.00000000,1250.00000000
HPI,3J00000093,1,JHB1826501,L-HOSE SET (60),10,3,HB02490100-01A,AIR PUMP HOSE CLIP 24MM for L-HOSE,2.00000000,2500.00000000
HPI,3J00000093,1,JHB1826501,L-HOSE SET (60),10,4,JH01802650-01A,xx)co)80HP L-HOSE D23-17x65 EPDM Hs60,1.00000000,1250.00000000
HPI,3J00000093,1,JHB1826501,L-HOSE SET (60),10,5,DB08034001,CP-80W BOX B flute (for PARTS),0E-8,10.00000000
HPI,3J00000094,1,JHB1826501,L-HOSE SET (60),10,2,BI00000400,VINYL # 4 (0.03 x 90x 170mm),1.00000000,812.00000000
HPI,3J00000094,1,JHB1826501,L-HOSE SET (60),10,3,HB02490100-01A,AIR PUMP HOSE CLIP 24MM for L-HOSE,2.00000000,1624.00000000
HPI,3J00000094,1,JHB1826501,L-HOSE SET (60),10,4,JH01802650-01A,xx)co)80HP L-HOSE D23-17x65 EPDM Hs60,1.00000000,812.00000000
HPI,3J00000096,1,SWB0304010,HP-60/80/150/200/LL SR SWITCH A UL/CE,10,1,SW00200800-03,co)HP SLIDE SWITCH BASE,1.00000000,400.00000000
HPI,3J00000096,1,SWB0304010,HP-60/80/150/200/LL SR SWITCH A UL/CE,10,2,SW00200910-02,HP-60/80/150/200 SWITCH SLIDE,1.00000000,400.00000000
HPI,3J00000096,1,SWB0304010,HP-60/80/150/200/LL SR SWITCH A UL/CE,10,3,SW01000401,MICRO SWITCH TYPE SS-10 OMRON INDONESIA,1.00000000,400.00000000
HPI,3J00000096,1,SWB0304010,HP-60/80/150/200/LL SR SWITCH A UL/CE,10,4,NE021001A0-B,co)M2.3x10 TAPPING B-TITE +PAN HEAD,1.00000000,400.00000000
HPI,3J00000096,1,SWB0304010,HP-60/80/150/200/LL SR SWITCH A UL/CE,10,5,RC03210200,INSULATION WIRE AWG22 BLACK (610),0.05500000,22.00000000
HPI,3J00000096,1,SWB0304010,HP-60/80/150/200/LL SR SWITCH A UL/CE,10,6,RC03210100,INSULATION WIRE AWG22 WHITE (610),0.12000000,48.00000000
HPI,3J00000124,1,EM0400451P,co)FC-0520P EM D0.45x800T step1 Varni,10,2,DS02204500,kp)COPPER WIRE 0.45 (2-UEWN-80),0.11600000,1.62400000
HPI,3J00000124,1,EM0400451P,co)FC-0520P EM D0.45x800T step1 Varni,10,3,TA04000500-01,xx)co)FX 40 LUG TERMINAL TYPE-I W/O L-AN,2.00000000,28.00000000
HPI,3J00000124,1,EM0400451P,co)FC-0520P EM D0.45x800T step1 Varni,10,4,ZT01024001,co)NOMEX TAPE TYPE 560S#2 24x0.05 WT(50m,0.30000000,4.20000000
HPI,3J00000124,1,EM0400451P,co)FC-0520P EM D0.45x800T step1 Varni,10,5,CR04000700-03A,co)BOOSTER BLOWER E-CORE BLOCK,1.00000000,14.00000000
HPI,3J00000124,1,EM0400451P,co)FC-0520P EM D0.45x800T step1 Varni,10,6,BB04000700-02,xx)co)FC-0520P BOBBIN PET,1.00000000,14.00000000
HPI,3J00000136,1,RDB3900203,XP-80 ROD MAGNETIZED w/ GAP BEARING,10,1,RDB3900102-00,"80XP ROD MAGNETIZED w/ WEIGHT,GB(CHINA)",1.00000000,164.00000000
HPI,3J00000136,1,RDB3900203,XP-80 ROD MAGNETIZED w/ GAP BEARING,10,2,MA01000410-02,co)120HP GAP ADJUSTER TYPE KP-002,2.00000000,328.00000000
HPI,3J00000137,1,RDB3900203,XP-80 ROD MAGNETIZED w/ GAP BEARING,10,1,RDB3900102-00,"80XP ROD MAGNETIZED w/ WEIGHT,GB(CHINA)",1.00000000,1000.00000000
HPI,3J00000137,1,RDB3900203,XP-80 ROD MAGNETIZED w/ GAP BEARING,10,2,MA01000410-02,co)120HP GAP ADJUSTER TYPE KP-002,2.00000000,2000.00000000
HPI,3J00000138,1,RDB3900203,XP-80 ROD MAGNETIZED w/ GAP BEARING,10,1,RDB3900102-00,"80XP ROD MAGNETIZED w/ WEIGHT,GB(CHINA)",1.00000000,1700.00000000
HPI,3J00000138,1,RDB3900203,XP-80 ROD MAGNETIZED w/ GAP BEARING,10,2,MA01000410-02,co)120HP GAP ADJUSTER TYPE KP-002,2.00000000,3400.00000000
HPI,3J00000139,1,RDB3900203,XP-80 ROD MAGNETIZED w/ GAP BEARING,10,1,RDB3900102-00,"80XP ROD MAGNETIZED w/ WEIGHT,GB(CHINA)",1.00000000,500.00000000
HPI,3J00000139,1,RDB3900203,XP-80 ROD MAGNETIZED w/ GAP BEARING,10,2,MA01000410-02,co)120HP GAP ADJUSTER TYPE KP-002,2.00000000,1000.00000000
HPI,3J00000168,1,CSB641000P,xx)XP CASING BLOCK,10,1,VV02200320-01B,co)kp)80CW AIR VALVE E604 (V),2.00000000,2610.00000000
HPI,3J00000168,1,CSB641000P,xx)XP CASING BLOCK,10,2,VC05500100-02A,xx)co)80XP VALVE COVER PBT GF 30% BLACK,1.00000000,1305.00000000
HPI,3J00000168,1,CSB641000P,xx)XP CASING BLOCK,10,3,CS06410000-08A,xx)co)XP-80 CASING w/ NOZZLE & HARNES MO,1.00000000,1305.00000000
HPI,3J00000169,1,CSB641000P,xx)XP CASING BLOCK,10,1,VV02200320-01B,co)kp)80CW AIR VALVE E604 (V),2.00000000,3200.00000000
HPI,3J00000169,1,CSB641000P,xx)XP CASING BLOCK,10,2,VC05500100-02A,xx)co)80XP VALVE COVER PBT GF 30% BLACK,1.00000000,1600.00000000
HPI,3J00000169,1,CSB641000P,xx)XP CASING BLOCK,10,3,CS06410000-08A,xx)co)XP-80 CASING w/ NOZZLE & HARNES MO,1.00000000,1600.00000000
HPI,3J00000175,1,DFB660024P,XP SERIES PSE/CE DIAPHRAGM,10,1,DF06600220-05B,xx)co)kp)80CP DIAPHRAGM 66x13x2.2 Hs55 (,1.00000000,1210.00000000
HPI,3J00000175,1,DFB660024P,XP SERIES PSE/CE DIAPHRAGM,10,2,SP03000210-09A,80HP CENTER PLATE A D42 PBT,1.00000000,1210.00000000
HPI,3J00000175,1,DFB660024P,XP SERIES PSE/CE DIAPHRAGM,10,3,SP03000220-08A,80HP CENTER PLATE B D42 PBT,1.00000000,1210.00000000
HPI,3J00000175,1,DFB660024P,XP SERIES PSE/CE DIAPHRAGM,10,4,TP04600200-02,HP-80 Teflon Set,2.00000000,2420.00000000
HPI,3J00000176,1,DFB660024P,XP SERIES PSE/CE DIAPHRAGM,10,1,DF06600220-05B,xx)co)kp)80CP DIAPHRAGM 66x13x2.2 Hs55 (,1.00000000,1029.00000000
HPI,3J00000176,1,DFB660024P,XP SERIES PSE/CE DIAPHRAGM,10,2,SP03000210-09A,80HP CENTER PLATE A D42 PBT,1.00000000,1029.00000000
HPI,3J00000176,1,DFB660024P,XP SERIES PSE/CE DIAPHRAGM,10,3,SP03000220-08A,80HP CENTER PLATE B D42 PBT,1.00000000,1029.00000000
HPI,3J00000176,1,DFB660024P,XP SERIES PSE/CE DIAPHRAGM,10,4,TP04600200-02,HP-80 Teflon Set,2.00000000,2058.00000000
HPI,3J00000179,1,DFB6602001,HP-80 DF BLOCK,10,1,DF06600200-02A,xx)co)kp)80HP DIAPHRAGM 66x13x2.2 EPN602,1.00000000,800.00000000
HPI,3J00000179,1,DFB6602001,HP-80 DF BLOCK,10,2,SP03000210-09A,80HP CENTER PLATE A D42 PBT,1.00000000,800.00000000
HPI,3J00000179,1,DFB6602001,HP-80 DF BLOCK,10,3,SP03000220-08A,80HP CENTER PLATE B D42 PBT,1.00000000,800.00000000
HPI,3J00000179,1,DFB6602001,HP-80 DF BLOCK,10,4,TP04600200-02,HP-80 Teflon Set,2.00000000,1600.00000000
HPI,3J00000179,1,DFB6602001,HP-80 DF BLOCK,10,5,CS06400101-06,xx)co)80HP DIAPHRAGM BASE PBT TYPE SK602,1.00000000,800.00000000
HPI,3J00000179,1,DFB6602001,HP-80 DF BLOCK,10,6,DR06400100-06,co)HP-80 DIAPHRAGM RING (60L),1.00000000,800.00000000
HPI,3J00000182,1,DFB9451002,200HP Diaphragm w/ CS A'ssy,10,1,DF09450100-03,xx)co)kp)200HP DIAPHRAGM Hs60,1.00000000,500.00000000
HPI,3J00000182,1,DFB9451002,200HP Diaphragm w/ CS A'ssy,10,2,KP26090100,LOCKING PIN (L150) 200HX11.1 RoHs,2.00000000,1000.00000000
HPI,3J00000182,1,DFB9451002,200HP Diaphragm w/ CS A'ssy,10,3,KP26090200,LOCKING PIN (S150) 200HX10.0 RoHs,2.00000000,1000.00000000
HPI,3J00000182,1,DFB9451002,200HP Diaphragm w/ CS A'ssy,10,4,SP05000111-01,200HP CENTER PLATE A A5052P,1.00000000,500.00000000
HPI,3J00000182,1,DFB9451002,200HP Diaphragm w/ CS A'ssy,10,5,SP05000121-01,200HP CENTER PLATE B A5052P,1.00000000,500.00000000
HPI,3J00000182,1,DFB9451002,200HP Diaphragm w/ CS A'ssy,10,6,TP06600100-02,HP-200 Teflon Plate,2.00000000,1000.00000000
HPI,3J00000182,1,DFB9451002,200HP Diaphragm w/ CS A'ssy,10,7,CS09700120-05,xx)co)200HP DIAPHRAGM BASE PBT,1.00000000,500.00000000
HPI,3J00000189,1,ECB81010MUT3,POWER CORD A'ssy SJTW 2m for 80HP,10,1,EC08100310,xx)co)UL POWER CORD (NEW),1.00000000,400.00000000
HPI,3J00000189,1,ECB81010MUT3,POWER CORD A'ssy SJTW 2m for 80HP,10,2,RC03220100,INSULATION WIRE AWG18 WHITE (305),0.15500000,62.00000000
HPI,3J00000189,1,ECB81010MUT3,POWER CORD A'ssy SJTW 2m for 80HP,10,3,RC03220200,INSULATION WIRE AWG18 BLACK (305),0.17500000,70.00000000
HPI,3J00000189,1,ECB81010MUT3,POWER CORD A'ssy SJTW 2m for 80HP,10,4,TA12500200,TERMINAL R1.25-4,1.00000000,400.00000000
HPI,3J00000189,1,ECB81010MUT3,POWER CORD A'ssy SJTW 2m for 80HP,10,5,TA63080901,TERMINAL TMEDN 630809-MA,2.00000000,800.00000000
HPI,3J00000189,1,ECB81010MUT3,POWER CORD A'ssy SJTW 2m for 80HP,10,6,TA63080902,TERMINAL TMEDN 630809-FA,2.00000000,800.00000000
HPI,3J00000190,1,ECB81010MUT3,POWER CORD A'ssy SJTW 2m for 80HP,10,1,EC08100310,xx)co)UL POWER CORD (NEW),1.00000000,700.00000000
HPI,3J00000190,1,ECB81010MUT3,POWER CORD A'ssy SJTW 2m for 80HP,10,2,RC03220100,INSULATION WIRE AWG18 WHITE (305),0.15500000,108.50000000
HPI,3J00000190,1,ECB81010MUT3,POWER CORD A'ssy SJTW 2m for 80HP,10,3,RC03220200,INSULATION WIRE AWG18 BLACK (305),0.17500000,122.50000000
HPI,3J00000190,1,ECB81010MUT3,POWER CORD A'ssy SJTW 2m for 80HP,10,4,TA12500200,TERMINAL R1.25-4,1.00000000,700.00000000
HPI,3J00000190,1,ECB81010MUT3,POWER CORD A'ssy SJTW 2m for 80HP,10,5,TA63080901,TERMINAL TMEDN 630809-MA,2.00000000,1400.00000000
HPI,3J00000190,1,ECB81010MUT3,POWER CORD A'ssy SJTW 2m for 80HP,10,6,TA63080902,TERMINAL TMEDN 630809-FA,2.00000000,1400.00000000
HPI,3J00000191,1,ECB81011MUT3,POWER CORD A'ssy SJTW 2m w/o GROMMET for,10,1,EC08100311,co)POWER CORD UL STYLE 1.8M(HP-80),1.00000000,500.00000000
HPI,3J00000191,1,ECB81011MUT3,POWER CORD A'ssy SJTW 2m w/o GROMMET for,10,2,RC03220100,INSULATION WIRE AWG18 WHITE (305),0.15500000,77.50000000
HPI,3J00000191,1,ECB81011MUT3,POWER CORD A'ssy SJTW 2m w/o GROMMET for,10,3,RC03220200,INSULATION WIRE AWG18 BLACK (305),0.17500000,87.50000000
HPI,3J00000191,1,ECB81011MUT3,POWER CORD A'ssy SJTW 2m w/o GROMMET for,10,4,TA12500200,TERMINAL R1.25-4,1.00000000,500.00000000
HPI,3J00000191,1,ECB81011MUT3,POWER CORD A'ssy SJTW 2m w/o GROMMET for,10,5,CG00800700,80HP CONNECT BUSHING D7.5 EPDM Hs70,1.00000000,500.00000000
HPI,3J00000191,1,ECB81011MUT3,POWER CORD A'ssy SJTW 2m w/o GROMMET for,10,6,TA63080901,TERMINAL TMEDN 630809-MA,2.00000000,1000.00000000
HPI,3J00000191,1,ECB81011MUT3,POWER CORD A'ssy SJTW 2m w/o GROMMET for,10,7,TA63080902,TERMINAL TMEDN 630809-FA,2.00000000,1000.00000000
HPI,3J00000191,1,ECB81011MUT3,POWER CORD A'ssy SJTW 2m w/o GROMMET for,10,8,RG00900200,SUMI TUBE TYPE F2(Z) D9 BLACK 50m/ROLL,0.04000000,20.00000000
HPI,3J00000191,1,ECB81011MUT3,POWER CORD A'ssy SJTW 2m w/o GROMMET for,10,9,RG00900200,SUMI TUBE TYPE F2(Z) D9 BLACK 50m/ROLL,0.04000000,20.00000000
HPI,3J00000192,1,EM0400451P,co)FC-0520P EM D0.45x800T step1 Varni,10,1,BB04000700-02,xx)co)FC-0520P BOBBIN PET,1.00000000,250.00000000
HPI,3J00000192,1,EM0400451P,co)FC-0520P EM D0.45x800T step1 Varni,10,2,DS02204500,kp)COPPER WIRE 0.45 (2-UEWN-80),0.11600000,29.00000000
HPI,3J00000192,1,EM0400451P,co)FC-0520P EM D0.45x800T step1 Varni,10,3,TA04000500-01,xx)co)FX 40 LUG TERMINAL TYPE-I W/O L-AN,2.00000000,500.00000000
HPI,3J00000192,1,EM0400451P,co)FC-0520P EM D0.45x800T step1 Varni,10,4,ZT01024001,co)NOMEX TAPE TYPE 560S#2 24x0.05 WT(50m,0.30000000,75.00000000
HPI,3J00000192,1,EM0400451P,co)FC-0520P EM D0.45x800T step1 Varni,10,5,CR04000700-03A,co)BOOSTER BLOWER E-CORE BLOCK,1.00000000,250.00000000
HPI,3J00000192,1,EM0400451P,co)FC-0520P EM D0.45x800T step1 Varni,10,6,DS02204500,kp)COPPER WIRE 0.45 (2-UEWN-80),0E-8,7.00000000
HPI,3J00000193,1,EM0400451P,co)FC-0520P EM D0.45x800T step1 Varni,10,1,BB04000700-02,xx)co)FC-0520P BOBBIN PET,1.00000000,422.00000000
HPI,3J00000193,1,EM0400451P,co)FC-0520P EM D0.45x800T step1 Varni,10,2,DS02204500,kp)COPPER WIRE 0.45 (2-UEWN-80),0.11600000,55.45200000
HPI,3J00000193,1,EM0400451P,co)FC-0520P EM D0.45x800T step1 Varni,10,3,TA04000500-01,xx)co)FX 40 LUG TERMINAL TYPE-I W/O L-AN,2.00000000,844.00000000
HPI,3J00000193,1,EM0400451P,co)FC-0520P EM D0.45x800T step1 Varni,10,4,ZT01024001,co)NOMEX TAPE TYPE 560S#2 24x0.05 WT(50m,0.30000000,126.60000000
HPI,3J00000193,1,EM0400451P,co)FC-0520P EM D0.45x800T step1 Varni,10,5,CR04000700-03A,co)BOOSTER BLOWER E-CORE BLOCK,1.00000000,422.00000000
HPI,3J00000200,1,EM1668103P,200HP EM070*810T 2P (P),10,1,BB06600620-02,xx)co)HP-80 BOBBIN UL(FR530),1.00000000,270.00000000
HPI,3J00000200,1,EM1668103P,200HP EM070*810T 2P (P),10,2,TA04000400-02,xx)co)Y type TARMINAL (For Bobbin),2.00000000,540.00000000
HPI,3J00000200,1,EM1668103P,200HP EM070*810T 2P (P),10,3,CR06600202-01A,xx)co)E-CORE B TYPE E662 Laminated produ,1.00000000,270.00000000
HPI,3J00000200,1,EM1668103P,200HP EM070*810T 2P (P),10,4,ZT01009008,COMBINATION TAPE TYPE 684S 9X0.42 WT(50m,0.03000000,8.10000000
HPI,3J00000200,1,EM1668103P,200HP EM070*810T 2P (P),10,5,ZT01038000,COMBINATION TAPE 684S 38X0.25 WHITE-N,0.24000000,64.80000000
HPI,3J00000200,1,EM1668103P,200HP EM070*810T 2P (P),10,6,ZT01038000,COMBINATION TAPE 684S 38X0.25 WHITE-N,0.03000000,8.10000000
HPI,3J00000200,1,EM1668103P,200HP EM070*810T 2P (P),10,7,ZT01038007,COMBINATION TAPE TYPE 684S 38X0.42WT(50m,0.43000000,116.10000000
HPI,3J00000200,1,EM1668103P,200HP EM070*810T 2P (P),10,8,DS03207000,kp)COPPER WIRE 0.70 (2 SODERON F,0.44400000,122.63000000
HPI,3J00000201,1,EM1668104P,200HP EM070*810T P3P (P),10,1,BB06600620-02,xx)co)HP-80 BOBBIN UL(FR530),1.00000000,270.00000000
HPI,3J00000201,1,EM1668104P,200HP EM070*810T P3P (P),10,2,TA04000400-02,xx)co)Y type TARMINAL (For Bobbin),3.00000000,810.00000000
HPI,3J00000201,1,EM1668104P,200HP EM070*810T P3P (P),10,3,CR06600202-01A,xx)co)E-CORE B TYPE E662 Laminated produ,1.00000000,270.00000000
HPI,3J00000201,1,EM1668104P,200HP EM070*810T P3P (P),10,4,ZT01009008,COMBINATION TAPE TYPE 684S 9X0.42 WT(50m,0.03000000,8.10000000
HPI,3J00000201,1,EM1668104P,200HP EM070*810T P3P (P),10,5,ZT03009007,POLYESTER FILM TYPE 631S#25 9x0.025 CLEA,0.55000000,148.50000000
HPI,3J00000201,1,EM1668104P,200HP EM070*810T P3P (P),10,6,ZT01038000,COMBINATION TAPE 684S 38X0.25 WHITE-N,0.24000000,64.80000000
HPI,3J00000201,1,EM1668104P,200HP EM070*810T P3P (P),10,7,ZT01038000,COMBINATION TAPE 684S 38X0.25 WHITE-N,0.03000000,8.10000000
HPI,3J00000201,1,EM1668104P,200HP EM070*810T P3P (P),10,8,OP07000200,THERMAL PROTECTOR TYPE ST-22(temp 130),1.00000000,270.00000000
HPI,3J00000201,1,EM1668104P,200HP EM070*810T P3P (P),10,9,ZT01038007,COMBINATION TAPE TYPE 684S 38X0.42WT(50m,0.43000000,116.10000000
HPI,3J00000201,1,EM1668104P,200HP EM070*810T P3P (P),10,10,DS03207000,kp)COPPER WIRE 0.70 (2 SODERON F,0.44400000,122.38000000
HPI,3J00000206,1,FCB8002100,80HP FILTER COVER A'ssy (ABS) w/ BUSH an,10,1,FP00200110-02,co)HP-80 Filter Gasket,2.00000000,1000.00000000
HPI,3J00000206,1,FCB8002100,80HP FILTER COVER A'ssy (ABS) w/ BUSH an,10,2,FB02000020-01,xx)co)HP-80 FILTER BUSH (ABS),1.00000000,500.00000000
HPI,3J00000206,1,FCB8002100,80HP FILTER COVER A'ssy (ABS) w/ BUSH an,10,3,LV08020100-02,FILTER MAINTENANCE LABEL,1.00000000,500.00000000
HPI,3J00000206,1,FCB8002100,80HP FILTER COVER A'ssy (ABS) w/ BUSH an,10,4,FC08000110-07A,80HP FILTER COVER ABS GREEN w/ M6,1.00000000,500.00000000
HPI,3J00000207,1,FCB8002100,80HP FILTER COVER A'ssy (ABS) w/ BUSH an,10,1,FP00200110-02,co)HP-80 Filter Gasket,2.00000000,1000.00000000
HPI,3J00000207,1,FCB8002100,80HP FILTER COVER A'ssy (ABS) w/ BUSH an,10,2,FB02000020-01,xx)co)HP-80 FILTER BUSH (ABS),1.00000000,500.00000000
HPI,3J00000207,1,FCB8002100,80HP FILTER COVER A'ssy (ABS) w/ BUSH an,10,3,LV08020100-02,FILTER MAINTENANCE LABEL,1.00000000,500.00000000
HPI,3J00000207,1,FCB8002100,80HP FILTER COVER A'ssy (ABS) w/ BUSH an,10,4,FC08000110-07A,80HP FILTER COVER ABS GREEN w/ M6,1.00000000,500.00000000
HPI,3J00000209,1,JHB1826501,L-HOSE SET (60),10,2,BI00000400,VINYL # 4 (0.03 x 90x 170mm),1.00000000,2300.00000000
HPI,3J00000209,1,JHB1826501,L-HOSE SET (60),10,3,HB02490100-01A,AIR PUMP HOSE CLIP 24MM for L-HOSE,2.00000000,4600.00000000
HPI,3J00000209,1,JHB1826501,L-HOSE SET (60),10,4,JH01802650-01A,xx)co)80HP L-HOSE D23-17x65 EPDM Hs60,1.00000000,2300.00000000
HPI,3J00000210,1,JHB1826501,L-HOSE SET (60),10,1,JH01802650,co)L-HOSE (60deg),1.00000000,1260.00000000
HPI,3J00000210,1,JHB1826501,L-HOSE SET (60),10,2,BI00000400,VINYL # 4 (0.03 x 90x 170mm),1.00000000,1260.00000000
HPI,3J00000210,1,JHB1826501,L-HOSE SET (60),10,3,HB02490100-01A,AIR PUMP HOSE CLIP 24MM for L-HOSE,2.00000000,2520.00000000
HPI,3J00000215,1,KAB4000820,HP ENGLISH MANUAL w/o HIBLOW SET w/ SP-S,10,1,KA04000820-01,xx)co)ENGLISH MANUAL UNPRINTED HIBLOW,1.00000000,656.00000000
HPI,3J00000215,1,KAB4000820,HP ENGLISH MANUAL w/o HIBLOW SET w/ SP-S,10,2,BI00001100,VINYL # 11 (0.03 x 200 x 300mm),1.00000000,656.00000000
HPI,3J00000215,1,KAB4000820,HP ENGLISH MANUAL w/o HIBLOW SET w/ SP-S,10,3,NEB3243910,UL PLASTIC SCREW SET for SP SWITCH,1.00000000,656.00000000
HPI,3J00000216,1,KAB4000820,HP ENGLISH MANUAL w/o HIBLOW SET w/ SP-S,10,1,KA04000820-01,xx)co)ENGLISH MANUAL UNPRINTED HIBLOW,1.00000000,632.00000000
HPI,3J00000216,1,KAB4000820,HP ENGLISH MANUAL w/o HIBLOW SET w/ SP-S,10,2,BI00001100,VINYL # 11 (0.03 x 200 x 300mm),1.00000000,632.00000000
HPI,3J00000216,1,KAB4000820,HP ENGLISH MANUAL w/o HIBLOW SET w/ SP-S,10,3,NEB3243910,UL PLASTIC SCREW SET for SP SWITCH,1.00000000,632.00000000
HPI,3J00000218,1,KAB4000860,HP ENGLISH MANUAL SET SR,10,1,KA04000860-04B,HP INSTRUCTION MANUAL (for user),1.00000000,636.00000000
HPI,3J00000218,1,KAB4000860,HP ENGLISH MANUAL SET SR,10,2,BI00000800,VINYL # 8 (0.03 X 130 X 250mm),1.00000000,636.00000000
HPI,3J00000220,1,KAB8001722,HP RUSSIA CE MANUAL SET SR w/EAC,10,1,KA08000724-00A,xx)co)HP MANUAL for CE(RUS) w/EAC,1.00000000,708.00000000
HPI,3J00000220,1,KAB8001722,HP RUSSIA CE MANUAL SET SR w/EAC,10,2,HO03000710-02,xx)co)WARRANTY (RUSSIA) WITH URL,1.00000000,708.00000000
HPI,3J00000220,1,KAB8001722,HP RUSSIA CE MANUAL SET SR w/EAC,10,3,BI00001100,VINYL # 11 (0.03 x 200 x 300mm),1.00000000,708.00000000
HPI,3J00000221,1,KAB8001722,HP RUSSIA CE MANUAL SET SR w/EAC,10,1,KA08000724-00A,xx)co)HP MANUAL for CE(RUS) w/EAC,1.00000000,120.00000000
HPI,3J00000221,1,KAB8001722,HP RUSSIA CE MANUAL SET SR w/EAC,10,2,HO03000710-02,xx)co)WARRANTY (RUSSIA) WITH URL,1.00000000,120.00000000
HPI,3J00000221,1,KAB8001722,HP RUSSIA CE MANUAL SET SR w/EAC,10,3,BI00001100,VINYL # 11 (0.03 x 200 x 300mm),1.00000000,120.00000000
HPI,3J00000222,1,KAB8002111,xx)XP ENGLISH/FRENCH MANUAL SET w/ screw,10,1,KA08002111-01,XP-40~80 (UL) OEM INSTRUCTION MANUAL(ENG,1.00000000,500.00000000
HPI,3J00000222,1,KAB8002111,xx)XP ENGLISH/FRENCH MANUAL SET w/ screw,10,2,KA08002130-01,xx)op)XP-40~80(UL)MAINTENANCE MANUAL(E/F,1.00000000,500.00000000
HPI,3J00000222,1,KAB8002111,xx)XP ENGLISH/FRENCH MANUAL SET w/ screw,10,3,NEB5060120,UNF#10-32 SCREW SET,1.00000000,500.00000000
HPI,3J00000222,1,KAB8002111,xx)XP ENGLISH/FRENCH MANUAL SET w/ screw,10,4,BI00000800,VINYL # 8 (0.03 X 130 X 250mm),1.00000000,500.00000000
